release_id,sha256,title,mode,folder_label,candidate_dates,sources,M001,M002,M003
be99f382,be99f3823ce4e42919ca33a02c9737dadfb8b1251c19593dabbe7c5495924426,RC Battle,window,v1.2 date 2004-03-07,,,,,
c2ee65eb,c2ee65eb10a55d31c0f027caf13b47872c2d04cd9ab5f7f31c0474b359d7fc22,Sheep Mania,window,date 2003-12-30..2003-12-31,,,2003-12-30,2003-12-31,
c4eea80b,c4eea80ba971fe5371b7fb15f595f9e35f579a07be6a5718635171c8b8b1c24d,Lisa,conflict,,2003-06-16|2003-10-16,2003-06-16 — historical site comment || 2003-06-16 — nearby text/file hint || 2003-10-16 — nearby text/file hint,2003-06-16,2010-06-20,
c7a5a70f,c7a5a70fce7af59483a5e64640d34380edc30b08c2c51474ef6860c17092079a,Captain Lunar,window,date 1999-12-01..2004-08-26,,,1999-12-01,2004-08-26,
c82e03b9,c82e03b964759c96895067eaf98bdd9840d1cd773fd05b3cc6bfcb02008cc0bf,Spinner C2,run,run 2004-05-27,2004-05-27,2004-05-27 — nearby text/file hint,2004-05-27,2004-05-29,
c9bb10f0,c9bb10f0072c725ca8c5c7ec1225628ef9baec5f1935eb1efe39f7330e91252e,KSPS,window,date 2004-03-15..2004-03-19,,,2004-03-15,2004-03-19,
cc84bf3a,cc84bf3a1c86d513c09aae2fac43c02f234d7c8019e2b978edc0bcc0656e18ba,Sweet Dreams,window,date 2004-03-22..2010-12-31,,,2004-03-22,2010-12-31,
ccf9c64b,ccf9c64bd1e4e6e7350d2de1024d2d79eb47d08558843683378790fc2bb1a274,Cubed,run,run 2003-06-16,2003-06-16,2003-06-16 — nearby text/file hint,2003-06-16,2010-06-20,
ce44743e,ce44743ee06b6f4de6bd677046c9ea7fa52d84cb08c3a2e167a5d998780195a5,ACE,window,date 2003-06-16..2010-06-20,,,2003-06-16,2010-06-20,
d492d878,d492d878982c67cd8702da98534923139ee04302b0a58ff3af0038ed4ae7e135,Chesswizz,window,date 2003-06-16..2010-06-20,,,2003-06-16,2010-06-20,
d5cdde50,d5cdde5086f19e08dea44e8a1ebe720cf7a53228d5191103d41c2458caa7755c,Revs!,run,run 2003-09-05,2003-09-05,2003-09-05 — historical site comment,,,
d666cc7c,d666cc7c51dd64e48c790f9e994ea9682107c09dfc0a69cbb4dd59f6f62ead69,Q Soccer,run,run 2004-08-26,2004-08-26,2004-08-26 — pcbanan Qsoccer FULL/1/date.txt,1999-12-01,2004-08-26,
dea4df9c,dea4df9cd22ec93c7219572589920a3c5483ff3d8145c1b6ab63d86add5dbc3c,AlphaAttack,run,run 2003-09-25,2003-09-25,2003-09-25 — historical site comment || 2003-09-25 — nearby text/file hint,2003-09-24,2003-09-25,
dfa85f70,dfa85f70026e9a2cef9d2df2986ba703484937c7eea2af79c6647eb6f7e80375,Warships,run,run 2003-10-28,2003-10-28,2003-10-28 — historical site comment || 2003-10-28 — nearby text/file hint,2003-10-27,2003-10-28,
dfbab38d,dfbab38d48e95abe63045db8f1e988919e10afe0571321b4943943e07318ee08,V-Rally2,run,run 2003-11-01,2003-11-01,2003-11-01 — nearby text/file hint,,,
e0515ba0,e0515ba093d9c95daf8f03c4ee4be8a11a8493dbd80c544839d0a84c9a5b8f49,Egg Attack,run,run 2004-04-09,2004-04-09,2004-04-09 — nearby text/file hint,2004-04-09,2004-05-24,
e300d6c2,e300d6c2b94736d490f376775d6dba9417fda9d5c4be7d20848b89791b18f134,5-5 Football,window,date 2004-04-06..2004-04-16,,,2004-04-06,2004-04-16,
e3fd4522,e3fd4522458e70b6cccbb35dff343e867bd3f20579345d11b7be667062c04390,Micro War,window,v1.0 date 2004-03-11,,,,,
e5871056,e5871056a7fa2b42095b6085f76fff8a18918022c78284a3d7934989e6d8879b,Graviton,run,run 2004-08-26,2004-08-26,2004-08-26 — nearby text/file hint,1999-12-01,2004-12-31,
ebddef19,ebddef1903d9a3f10a59213080c6f6fda2f2bba1dbc9d1bb8da4599c7dc84a85,Graviton,run,run 2004-08-26,2004-08-26,2004-08-26 — nearby text/file hint,1999-12-01,2004-08-26,
ece70637,ece70637622105a7023ffe22e2ec1b70f4bf50ccd94830f978e1036c7bccc41e,The FlintStones,conflict,,2003-11-06|2003-11-11,2003-11-06 — historical site comment || 2003-11-11 — pcbanan Flinstones FULL/date.txt,2003-11-07,2003-11-11,
f1c5d7e1,f1c5d7e148823cad22f3ea2bb2453c570a643a62b2de2c535ade5892985d33c2,Evil Mirror,conflict,,2003-10-30|2003-11-11,2003-10-30 — sonyericsson.paradisezone.net juegos2.html || 2003-11-11 — pcbanan Evil Mirror FULL/Date.txt,1999-12-01,2004-08-26,
f2058533,f2058533d31854a325f0511b702f5e5a0375a250be6c68458209d2c056b4dbd5,Iceblox Plus,window,date 1999-12-01..2004-08-26,,,1999-12-01,2004-08-26,
f3578624,f3578624875e2b6c6b11214def4fc6eaef40ec871be0ab57875caf3a01c7d15b,DogCity,window,date 1999-12-01..2004-08-26,,,1999-12-01,2004-08-26,
f36cf05b,f36cf05bca216f58a37ab1c9741809029b09afb427ae11e666388a0f8b8f16b0,Colin McRae Rally 4,run,run 2004-05-11,2004-05-11,2004-05-11 — nearby text/file hint,2004-05-11,2004-05-21,
f44b1011,f44b1011cb9501ac21ec79a57883320b8277a9739afcb7393457f54d5a261ed5,Wilione,window,v1.02 [2003-10-13],,,,,
f5f02434,f5f02434d062c311c0a1f289fd3398cb4cf0cb00d485aa93023fd8c6fe5df0af,Snooz,window,date 1999-12-01..2004-08-27,,,1999-12-01,2004-08-27,
f665dde8,f665dde835effe4d509e69be6fdb7c4fac5a93da6e05b44e2226f78dd2454cbd,Micro War,window,v1.1 date 2004-03-11,,,,,
f8acbab8,f8acbab8282ac79a35aa82902bf822d60745a8b057ca76a2ef3b49dd6148d469,Karaophun!,window,date 2003-06-16..2010-06-20,,,2003-06-16,2010-06-20,
